"temp_K","day"
297.029998779297,2008-01-01
296.75,2008-01-02
296.700012207031,2008-01-03
296.850006103516,2008-01-04
296.540008544922,2008-01-05
296.390014648438,2008-01-06
296.600006103516,2008-01-07
296.739990234375,2008-01-08
296.709991455078,2008-01-09
296.660003662109,2008-01-10
296.5,2008-01-11
296.329986572266,2008-01-12
296.160003662109,2008-01-13
296.130004882812,2008-01-14
296.260009765625,2008-01-15
296.350006103516,2008-01-16
296.079986572266,2008-01-17
295.940002441406,2008-01-18
295.899993896484,2008-01-19
295.690002441406,2008-01-20
295.309997558594,2008-01-21
295.320007324219,2008-01-22
295.440002441406,2008-01-23
295.720001220703,2008-01-24
295.489990234375,2008-01-25
295.799987792969,2008-01-26
296.029998779297,2008-01-27
296.059997558594,2008-01-28
295.730010986328,2008-01-29
295.399993896484,2008-01-30
295.450012207031,2008-01-31
295.600006103516,2008-02-01
295.670013427734,2008-02-02
295.670013427734,2008-02-03
295.839996337891,2008-02-04
296.100006103516,2008-02-05
295.940002441406,2008-02-06
295.730010986328,2008-02-07
296.019989013672,2008-02-08
296.290008544922,2008-02-09
296.290008544922,2008-02-10
296.190002441406,2008-02-11
296.119995117188,2008-02-12
296.119995117188,2008-02-13
296.130004882812,2008-02-14
295.980010986328,2008-02-15
295.910003662109,2008-02-16
296.049987792969,2008-02-17
295.809997558594,2008-02-18
295.820007324219,2008-02-19
295.619995117188,2008-02-20
295.529998779297,2008-02-21
296.299987792969,2008-02-22
296.290008544922,2008-02-23
296.359985351562,2008-02-24
296.320007324219,2008-02-25
296.470001220703,2008-02-26
295.799987792969,2008-02-27
295.730010986328,2008-02-28
295.700012207031,2008-02-29
296.25,2008-03-01
296.5,2008-03-02
296.420013427734,2008-03-03
296.010009765625,2008-03-04
296.149993896484,2008-03-05
296.980010986328,2008-03-06
297.200012207031,2008-03-07
297.040008544922,2008-03-08
297.059997558594,2008-03-09
297.230010986328,2008-03-10
298.589996337891,2008-03-11
298.399993896484,2008-03-12
298.25,2008-03-13
298.230010986328,2008-03-14
298.170013427734,2008-03-15
298.049987792969,2008-03-16
298.010009765625,2008-03-17
297.929992675781,2008-03-18
297.850006103516,2008-03-19
297.739990234375,2008-03-20
297.75,2008-03-21
297.589996337891,2008-03-22
297.350006103516,2008-03-23
297.329986572266,2008-03-24
297.869995117188,2008-03-25
298.089996337891,2008-03-26
298.339996337891,2008-03-27
298.130004882812,2008-03-28
298.019989013672,2008-03-29
297.929992675781,2008-03-30
297.790008544922,2008-03-31
297.950012207031,2008-04-01
298.239990234375,2008-04-02
298.5,2008-04-03
298.929992675781,2008-04-04
299.070007324219,2008-04-05
298.839996337891,2008-04-06
299.130004882812,2008-04-07
299.380004882812,2008-04-08
299.279998779297,2008-04-09
298.850006103516,2008-04-10
298.970001220703,2008-04-11
298.549987792969,2008-04-12
298.429992675781,2008-04-13
298.049987792969,2008-04-14
297.790008544922,2008-04-15
297.640014648438,2008-04-16
297.459991455078,2008-04-17
297.329986572266,2008-04-18
297.720001220703,2008-04-19
298.130004882812,2008-04-20
298.170013427734,2008-04-21
298.119995117188,2008-04-22
298.559997558594,2008-04-23
298.640014648438,2008-04-24
298.559997558594,2008-04-25
298.649993896484,2008-04-26
298.700012207031,2008-04-27
298.510009765625,2008-04-28
298.640014648438,2008-04-29
298.910003662109,2008-04-30
298.910003662109,2008-05-01
298.5,2008-05-02
298.559997558594,2008-05-03
298.679992675781,2008-05-04
298.929992675781,2008-05-05
299.079986572266,2008-05-06
299.119995117188,2008-05-07
299.029998779297,2008-05-08
299.140014648438,2008-05-09
299.299987792969,2008-05-10
299.230010986328,2008-05-11
299.429992675781,2008-05-12
299.220001220703,2008-05-13
299.220001220703,2008-05-14
299.119995117188,2008-05-15
299.130004882812,2008-05-16
298.959991455078,2008-05-17
299.239990234375,2008-05-18
299.339996337891,2008-05-19
299.179992675781,2008-05-20
299.290008544922,2008-05-21
299.25,2008-05-22
299.130004882812,2008-05-23
299.339996337891,2008-05-24
299.529998779297,2008-05-25
299.730010986328,2008-05-26
299.670013427734,2008-05-27
299.559997558594,2008-05-28
299.640014648438,2008-05-29
299.730010986328,2008-05-30
299.880004882812,2008-05-31
300.010009765625,2008-06-01
300.429992675781,2008-06-02
300.630004882812,2008-06-03
300.739990234375,2008-06-04
300.700012207031,2008-06-05
300.399993896484,2008-06-06
300.559997558594,2008-06-07
300.690002441406,2008-06-08
300.910003662109,2008-06-09
301.019989013672,2008-06-10
301.130004882812,2008-06-11
301.279998779297,2008-06-12
301.339996337891,2008-06-13
301.390014648438,2008-06-14
301.649993896484,2008-06-15
301.600006103516,2008-06-16
301.760009765625,2008-06-17
301.790008544922,2008-06-18
301.779998779297,2008-06-19
301.890014648438,2008-06-20
301.950012207031,2008-06-21
