"open","sst","G_menardii","G_siphonifera","O_universa","G_sacculifer","G_ruber_pink","G_ruber_white","P_obliquiloculata","N_dutertrei","G_calida","G_crassaformis","G_glutinata","G_truncatulinoides","G_bulloides","G_falconensis"
2010-04-14,0.588748931884702,0.29,3.15,0.86,6,62,36.29,-6.86,1.72,12.29,9.14,3.14,69.71,6.28,0
2010-04-21,1.2475013732912,5.71,19.43,1.71,12.58,33.14,60.57,4,0,-53.15,-2.28,-2.28,-69.71,-15.43,0
2010-04-28,0.836246490478597,0,-28,9.14,4.57,-69.71,-82.86,-5.71,-5.15,-36,-1.14,-1.72,5.14,-1.14,0
2010-05-05,1.2362518310545,-8.57,-4.86,-11.14,-22,-26.58,-24.57,-5.72,-11.43,-15.43,-0.58,-8.28,-8.29,0,0
2010-05-12,1.2187500000003,0.57,19.71,6.57,6.57,13.43,38.86,-0.57,1.72,32,-1.14,6.57,2,0,0
2010-05-19,0.817497253417802,-0.28,-16.85,-6.57,-8.29,-11.43,-29.15,0,-2.57,-21.71,3.14,-3.43,-3.14,0,0
2010-05-26,0.885005950927798,2,0,0.57,5.15,17.72,20.86,0,2.57,4.29,-1.42,0.86,-0.86,0,0
2010-06-02,0.264995574951001,-1.72,0.28,-1.14,-4,-5.14,-3.14,0,0,-13.72,-1.72,2.57,-1.14,0,0
2010-06-09,0.932498931884798,-0.57,-0.57,-1.43,-2,-4.86,-19.72,0,-3.14,-2.28,-1.71,-3.72,-0.28,0.29,0
2010-06-16,1.4650001525877,0.86,0.86,2.86,4.57,12,13.72,0.57,1.42,10,0,-0.57,0,-0.29,0
2010-06-23,-0.627498626708903,-0.29,2.28,-2.29,-2,-10.29,-2,0,1.15,1.71,2.85,-0.57,0.28,0.57,0
2010-06-30,-0.8199958801269,0.57,-3.71,1.72,4.28,67.15,13.14,-0.57,1.71,-5.71,2.86,-0.29,1.72,-0.57,0
2010-07-07,0.548744201660302,0,0.57,-1.72,-2.28,38.85,-11.43,0,0,-8.58,19.43,-0.57,-1.72,0,0
2010-07-14,0.402497609456301,-1.14,2.91,0.88,-1.95,-76.78,-5.32,0,-0.75,2.11,-24.73,-0.23,0.52,0,0
2010-07-25,0.494335937499898,4,5.38,-0.02,3.09,10.5,45.61,0.57,1.61,7.61,6.16,6.23,0.91,0.29,0
2010-08-08,0.0833353678386004,-2.29,-7.86,-0.72,-6.43,-44.43,-58,-0.57,-4.57,-9.29,-6.29,-6.43,-1.71,-0.29,0
2010-08-22,-0.499332682291499,0.86,-2.57,-0.57,1.86,4.28,-1.43,0,0.14,-3.71,0.72,-0.28,0.28,0,0
2010-09-05,-0.633335367838601,-0.86,2.14,2.43,5.71,15,30.86,0,-0.43,0.71,-1.86,1.28,-0.28,0,0
2010-09-21,-0.2775011698409,0.29,7.43,-2.57,-5.14,-10,-19.15,0,4.29,5.15,-1.14,10,-0.29,0,0
2010-09-28,-0.5837478637693,26,-7.43,2.86,35.43,18,29.72,0.57,11.14,-3.15,-0.86,-2.57,0.57,0,0
2010-10-05,-0.946250915527198,-17.14,25.14,-0.57,-19.43,5.72,-4.57,1.72,7.43,5.15,2.86,20.57,1.14,0,0
2010-10-12,-0.502498626709102,0.850000000000001,-12.28,1.42,-10.86,-7.14,-19.15,2.28,-2.57,2,2,-20.85,-1.14,0,0
2010-10-19,-0.252506256103199,46.58,-0.289999999999999,2.58,8,-7.15,-8.28,1.14,-0.289999999999999,-4.29,-2,-6.57,-0.57,0,0
2010-10-26,-0.062488555908299,45.71,-14.28,-4,-9.14,1.72,23.43,4.58,-2.86,-1.71,-2.29,-1.15,1.14,0,0
2010-11-02,-0.692512512207301,-82.29,22,-1.15,2,4.57,-15.43,-5.15,-6.28,1.14,1.14,-0.28,-0.85,0,0
2010-11-09,-0.8449897766112,-10.85,-11.43,1.15,-3.43,-3.14,18,10.29,2.57,-2.86,-1.14,1.71,0,0,0
2010-11-16,-0.3512535095213,34.85,8.28,-1.15,9.43,8.28,18,44.57,11.71,0.569999999999999,-0.57,-0.86,-0.29,0,0
2010-11-23,-0.2925033569338,14.86,-18.28,-1.14,-12,-29.71,-42.29,-18.86,10.86,-2.85,1.71,-1.71,0,0,0
2010-11-30,-0.8137435913088,-48.28,6,0.29,-3.14,-6.29,7.43,-12,-11.71,0,-0.85,0.86,0.29,0,0
2010-12-07,-0.876255035400202,2,12.85,-0.29,5.43,20.57,38.86,18.86,-2.57,9.14,-0.29,0.28,2,0,4
2010-12-14,-0.623741149902298,0.57,-11.42,1.71,0,-6.28,2.86000000000001,120.57,13.14,13.14,0,4.57,0.57,2.29,116.57
2010-12-21,-0.488754272461001,2.85,5.71,-1.14,0,-3.43,-36,9.72,20,10.29,-0.57,0.58,28,0.57,163.43
2010-12-28,-0.338752746582099,-10.85,-4,0,-2.29,-8,-17.72,-105.15,-1.72,-4,0.57,-1.72,15.43,-2.29,-250.86
2011-01-04,-0.157497406005902,-4.57,-7.43,0,-2.29,-5.14,-6.28,-40.57,-35.42,-20.57,-0.57,-2.86,36,-0.57,-16.57
2011-01-11,-0.566253662109197,4.57,4.57,-0.57,0,0.57,0,-7.43,15.42,3.42,1.14,-1.14,26.28,0.57,13.72
2011-01-18,-0.3287429809569,-5.72,-7.43,0,-1.71,-2.86,-5.15,-18.28,-30.85,-10.85,-1.14,-0.57,46.29,-0.57,-28
2011-01-21,-0.369338480631601,6,0.58,0.29,1.71,0.57,3.43,15.14,9.43,25.43,0.29,3.43,257.43,0,1.42
2011-02-04,-0.219997151692802,-4.85,3.14,-0.29,-0.28,0.29,0.569999999999999,4.29,-0.289999999999999,-3.43,0,-2.29,122.85,0.29,-3.42
2011-02-18,0.9966634114584,5.71,17.14,1.14,8.28,8.85,15.43,56.57,31.71,54.28,-0.29,6,-426.57,0.85,0
2011-03-04,0.455167643229,-6.29,-11.14,1.72,-3.42,4.58,-6.28,-67.43,-29.42,25.43,1.71,-4.85,44.57,-1.14,-0.29
2011-03-11,0.443740844726701,-1.42,-4.29,-2,-5.72,-12.58,-12.29,-14.86,-14,-75.14,-1.71,-1.15,-147.71,0,0.29
2011-03-18,1.236255645752,9.42,-0.85,8.85,26.29,53.72,32.29,12.57,16.85,-2,0.57,-1.14,8.86,0,-0.29
2011-03-25,0.942504882812599,-4.85,2.57,2.86,-8.86,-27.14,-20.86,-0.850000000000001,-5.43,-15.14,2.29,0.86,0.57,0.29,0
2011-04-01,0.242500305175703,-4,12.28,-9.71,-14.57,-12,-6,-10.58,-3.71,-4.86,9.71,0,-9.43,-0.29,0
2011-04-08,-0.167499542236403,0.28,-12.28,0.85,8,14.28,21.71,2.58,3.14,-0.29,-4,1.14,-0.569999999999999,0.86,0
2011-04-15,0.4849967956544,6,-2.29,1.15,-2,-4.86,-16.85,6.28,14.29,-5.14,-6.28,-0.86,-1.72,-0.86,0
2011-04-22,0.3862495422362,0.86,-3.43,9.43,10,7.72,-5.15,-0.280000000000001,-9.72,6,8,-0.28,5.15,0,0
2011-04-29,0.150001525878903,-6.86,1.72,-9.72,-14,-23.43,-4.57,-8.86,-8,-3.71,-9.15,-0.86,-4.29,0,0
2011-05-06,0.580001831054798,0,7.43,0.569999999999999,9.14,32.29,39.43,1.14,1.15,10,-0.57,4.29,-1.43,0,0
2011-05-13,0.0549888610838991,2.29,-4.86,1.43,-6.86,-8.86,-14.86,6.29,11.14,-7.43,4,-0.58,6.29,0,0
2011-05-20,0.447509765625103,-1.14,-3.72,-2.28,4.58,-0.859999999999999,-3.43,-5.43,-12.29,1.71,-2.86,-2,-6.29,0,0
2011-05-27,0.752494812011498,0.28,4.29,0,-7.15,-10,-3.14,1.71,2,-0.280000000000001,-0.28,0,-0.86,0.29,0
2011-06-03,0.742507934570501,-2,12.57,3.14,2.29,12.86,20,-2.85,-4.57,29.42,0.86,5.72,0,-0.29,0
2011-06-10,1.2645805358887,15.43,-12,5.71,18,-7.14,-25.43,1.71,3.72,-27.42,1.71,-6,4,0,0
2011-06-24,0.3773295084636,-6.57,-1.71,-4.57,-7.43,-6.86,-3.14,-2.86,-3.15,-5.15,1.43,0,-2.28,0.29,0
2011-07-08,0.4786661783853,-6,-1.72,1.72,4.29,14.28,17.43,0.29,-0.85,-0.279999999999999,2.86,-0.57,-2.29,-0.29,0
2011-07-22,0.6269857841624,-2.1,1.97,-4.96,-9.85,-12.82,-21.65,-0.0999999999999999,-0.640000000000001,-1.53,-4.73,-0.64,-0.0299999999999998,0.22,0
2011-08-14,0.627681370785599,2.1,-0.680000000000001,-1.9,-1.44,7.54,14.79,-1.19,-3.22,2.24,7.44,-0.08,-0.68,-0.22,0
2011-08-28,-0.899997965494901,-3.43,14.43,-0.29,25.57,22.43,19.43,-0.14,-0.71,-0.430000000000001,-7.57,0.43,1.57,0,0
2011-09-11,-0.602001953125001,4.57,-7.72,21.43,158.86,137.71,173.14,0.57,4.85,-0.279999999999999,1.71,5.72,2.86,0,0
2011-09-25,0.0726684570315008,-4,7.15,-20.28,-156,-180,-192.28,-0.57,-4.28,8.85,-3.43,-2.58,-3.72,0,0
2011-10-09,-1.3266723632813,10.86,-14.29,-0.58,38,166.57,215.14,0.86,8.85,-6,0.58,21.43,0.86,0,0
2011-10-23,-1.0879971822107,-8.57,3.14,-2.57,18,-130.28,-224.29,0.28,-4.57,-1.42,-1.72,-20,-2,0,0
2011-10-30,-1.0137481689451,-0.29,-5.71,-0.85,-80.86,-37.72,-5.14,1.72,0,4,0,-3.71,4.29,0,0
2011-11-06,-0.678756713867202,10.86,-0.29,2.57,-6.28,1.43,1.43,21.71,13.72,-1.15,0,0,-3.72,0,0
2011-11-13,-0.189994812011797,22.57,0.86,0.57,-2,8.29,15.71,12.57,6.85,-3.43,0.57,4.86,-0.57,0,0
2011-11-20,-0.263748168945103,-16.57,34.86,0,29.14,33.71,33.72,-13.71,2.29,0.58,-1.14,-2.29,0,0,0
2011-11-27,-0.798751831054698,-16.86,-29.72,-0.57,-23.72,-43.43,-52,-15.72,-21.71,-4,0,-2.86,0,0,0
2011-12-04,-0.621246337890799,19.72,7.43,-0.57,21.43,17.15,34.28,16.86,56.57,10.85,0,5.72,0,0,0.57
2011-12-11,-0.862499237060401,-2.86,-8,4.57,-14.28,-0.579999999999998,-16.57,18.29,-27.43,-6.85,1.14,-4,1.14,0,3.43
2011-12-18,0.423748016357301,-9.72,30.86,4.57,14.85,-11.42,3.43,-14.86,-9.72,12.57,1.15,0,1.72,0.57,97.71
2011-12-25,-0.2699966430662,-5.71,38.86,-9.14,-21.71,-4.58,-18.86,-14.86,-4,-2.86,-1.72,-2.29,4.57,-0.57,-57.71
2012-01-01,0.2200012207032,0.57,-56,0,-3.43,2.29,5.15,-4.57,4.58,7.43,-0.57,4,0,0,5.14
2012-01-08,0.207492828368999,-0.86,-16.58,-1.15,-1.43,-5.14,-5.43,-2.86,-13.43,-15.43,0,-2.86,10,0,-39.14
2012-01-15,0.0937538146971022,4.86,6.29,2.86,9.43,10.85,14.57,13.15,4.85,-1.14,0.57,3.43,56.86,0,11.14
2012-01-22,0.0337486267089986,-7.14,-6.29,-2.29,-9.14,-12.57,-12.29,-9.72,-7.42,0.569999999999999,-0.57,-2.28,-21.43,0,-9.14
2012-01-29,-0.744998931884698,-0.86,-5.14,-1.71,-4.57,-4,-9.14,-8.28,-8.58,-3.14,0,-2.57,-32.57,0,-9.43
2012-02-05,-0.343753814697301,-0.57,0,0,-2.86,-0.85,-2,-0.29,-1.14,-3.15,0,0,-17.15,0,-2
2012-04-03,-0.177497863769499,10.29,9.14,3.14,-2.28,-2.86,2.28,2.29,-1.43,16.86,-0.57,0.29,-18.28,0,0
2012-04-10,0.402500152587798,-1.43,41.14,17.15,21.14,34.29,46.29,5.14,12.86,35.71,0.57,7.71,25.14,0,0
2012-04-17,-0.106243133544599,-10.57,-21.14,-20,-19.43,-12.29,-27.15,-8,-13.15,-54,-0.86,-6.86,-29.71,0,0
2012-04-24,0.0475006103514986,2,-9.72,16.57,13.14,19.15,-4.28,2.86,4.58,1.43,-0.29,-0.57,8,0,0
2012-05-01,1.9074974060059,18.85,-6.28,24,90.29,47.43,20.57,20.57,26.85,-6.28,-1.14,12.57,-20.58,0,0
2012-05-08,0.278743743896499,-2.85,-2.29,-6.29,-20,-50.86,-15.43,-14.29,-8,-5.15,0.57,2.86,4,0,0
2012-05-15,-0.703754425049301,-17.15,51.15,-29.14,-86.29,-28.57,-17.43,-9.42,-18.57,17.43,9.72,-12.86,-1.14,0,0
2012-05-22,0.455001831054901,-0.28,-54.86,-5.14,-0.85,-2.86,1.15,0.85,2.29,5.14,-9.43,0.86,-3.43,0,0
2012-05-29,0.9900016784668,2.57,7.14,15.43,18,36.57,13.42,0.57,-2.57,-12.28,10.57,1.14,3.43,0,0
2012-06-05,0.0400047302245987,-2.29,-16.86,-15.15,-19.72,-32.28,-13.71,-1.71,-8.29,-16.29,-11.14,-4.28,-3.71,0,0
2012-06-12,0.473751068115501,1.72,6,6.57,14.29,10.57,6.29,0.29,0.29,10.86,4,-0.29,1.71,0,0
2012-06-19,-0.231250762939599,-2.86,-7.42,-6,-11.72,-14.57,-10,-0.29,-0.86,-12.86,2,0,2,0,0
2012-06-26,1.0237503051757,0.57,-1.72,-0.85,19.43,46.57,74.57,0,6.57,-2.85,-3.43,4.57,-3.43,0,0
2012-07-03,0.617496490478398,5.72,9.72,17.14,82.29,67.43,45.14,0.57,20.57,6.85,-2.86,5.15,0.57,0,0
2012-07-10,-0.0437469482420987,-6.57,-14.29,-20,-105.72,-123.43,-122,-0.57,-28.57,-13.14,-0.57,-10.57,-1.71,0,0
2012-07-17,-0.238750457763501,0,0.29,1.14,1.72,2.57,3.71,0.29,0.57,1.14,0.57,1.42,0.29,0,0
2012-07-24,0.629997253417901,0.28,8,2.29,6,6.57,3.15,-0.29,0.29,5.43,1.14,-0.57,0,0,0
2012-07-31,0.4800071716306,0.86,5.14,-0.57,0.850000000000001,18.57,13.43,0.29,3.14,2,0.29,-0.28,-0.29,0,0
2012-08-07,0.368743896484599,1.43,42.57,12.57,43.43,108.29,73.71,-0.29,6.86,42.29,21.43,2.57,5.14,0,0
2012-08-15,-0.658748118082698,-1.72,-34,-6.29,-16,-82.86,-71.71,0.29,-8,-35.43,-6.86,-3.43,-3.71,0,0
2012-08-29,-0.853334554036401,1.15,-17.14,-3.14,32.29,20,4,-0.29,0.28,1.71,-16,0.29,-1.14,0,0
2012-09-12,-0.476668294270901,-0.86,13.71,2.86,-35.14,-38,-5.72,0,-1.43,-1.71,2,2.28,0.28,0,0
2012-09-26,-0.1946634928386,24,-7.43,-5.72,-25.15,-2.29,-2,0.57,8.58,0,0.86,-1.43,0,0,0
2012-10-10,0.0193339029949016,-20,9.43,2.29,9.43,-19.14,-6.57,-0.28,-6.29,-7.72,-2.29,-0.28,-0.57,0,0
2012-10-24,-1.438671875,0.57,-16.28,-4.29,-10.28,-3.71,0.140000000000001,1.85,-0.57,-3.42,-1,0.28,0,0,0
2012-11-07,-1.5372507731121,6,30.57,11.43,85.42,36.28,30.43,20.72,2.86,8.28,0.43,0.57,0,0,0
2012-11-14,-0.9749946594238,-6.57,29.43,-6.86,-66,-40,-32.28,-10.86,1.71,-4.28,1.72,-0.85,0,0,0
2012-11-21,-0.371250152587901,1.43,-48.86,-1.71,-8.85,0.57,46,17.14,11.43,-3.15,-1.15,4.28,0,0,0
2012-11-28,-0.205001831054599,16.28,-8.86,-0.29,2,-2,-32,5.15,-4.86,-1.71,0.86,-4.57,0,0,0
2012-12-05,-0.0637512207030007,-16,-3.14,-1.42,-4.57,-6.57,-20,-18.86,-4,0.57,-1.71,0,0,0,0
2012-12-12,-0.658752441406399,-3.14,0.86,-2.29,-12.86,-0.28,0.85,-11.72,2.57,-1.14,0.28,-0.28,0,0,0
2012-12-19,-0.383747100830099,-0.57,-1.43,0,-2,-0.57,-4.85,-1.71,-8.85,0,-0.57,-0.29,0,0,0
2012-12-26,0.0387496948241974,0.86,-0.29,1.14,0.86,2.28,2.85,10.86,3.42,2.85,0,0.29,0.86,0,0
2013-01-02,-0.3362503051756,20.28,6,0.57,18.28,4.29,14.86,100.28,32.86,24,2.29,0.85,3.71,0,5.71
2013-01-09,0.4950027465818,-20.86,-2.86,-1.14,-14.57,-5.72,-15.14,-76.57,-16,-18,-2.29,-1.14,-0.57,0.86,1.72
2013-01-16,0.0887489318848012,12.86,1.15,0.57,2.57,4.57,7.71,33.72,41.72,23.15,0,2.86,11.43,-0.29,-3.43
2013-01-23,-0.133750915527401,-13.71,-5.43,0,1.14,-0.28,6.57,-52.58,-41.72,-15.15,0.29,-1.72,14.57,-0.57,-0.86
2013-02-07,-0.651252746581999,1.71,63.28,0.57,2.29,4.86,-9.43,-8.57,4,130.29,7.14,8.57,902.35,0,-3.14
2013-02-14,-0.581249237060501,-3.43,-60.71,-0.28,-3.14,-1.15,-2.28,-4.57,-21.14,-126.86,-5.14,-8.28,-864.64,0,0
2013-02-21,-0.00191218058250087,4.29,-0.29,1.71,116.57,46.86,69.14,33.14,38.28,80.86,-1.43,11.14,1.15000000000001,2.57,1.14
2013-03-07,0.132666015624803,-0.859999999999999,38.29,20,-70,6.57,-19.43,27.72,12.86,-17.71,0.85,13.14,-30.86,-1.43,-0.85
2013-03-21,0.0766642252604974,13.14,-25.43,-13.14,-38.86,-13.43,-29.71,-42.86,-8.86,20.28,3.43,-1.71,41.71,-0.85,-0.29
2013-04-04,0.113999430338602,-11.42,-9.14,-9.43,14.57,-27.71,-1.43,-11.43,-21.42,-35.14,-2.57,-20.29,-66.28,-0.29,0
