open,close,middle,doy,cum_days,resolution,next_open,sst,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis
14/01/08,21/01/08,18/01/08,18,7,7,0,22.80750046,0,4.57,0,9.14,6.86,0,30.29,8,27.43,0.57,1.71,137.71,0,0
21/01/08,28/01/08,25/01/08,25,14,7,0,22.49624786,7.43,13.71,1.71,18.29,7.43,0.57,33.71,28,23.43,7.43,6.86,452.57,0,0
28/01/08,04/02/08,01/02/08,32,21,7,0,22.52750549,7.43,22.86,2.29,8,5.71,1.14,71.43,29.71,32,0,6.29,245.14,1.14,1.71
04/02/08,11/02/08,08/02/08,39,28,7,0,22.90000305,1.71,18.86,0.57,4.57,8,1.14,38.86,31.43,64,1.14,5.71,346.29,1.71,0.57
11/02/08,18/02/08,15/02/08,46,35,7,0,22.88874969,0.57,11.43,2.29,10.86,2.29,1.14,6.86,8.57,36,0,0.57,95.43,0,0.57
18/02/08,25/02/08,22/02/08,53,42,7,0,22.85624847,2.29,11.43,2.29,16.57,18.29,1.14,8,18.29,40,1.71,5.71,110.86,1.71,0
25/02/08,03/03/08,29/02/08,60,49,7,0,22.99875412,1.71,4.57,5.14,23.43,9.14,0.57,1.71,5.71,18.29,2.29,0.57,74.29,0,0
03/03/08,10/03/08,07/03/08,67,56,7,0,23.61125717,0.57,47.43,21.14,127.43,32.57,4.57,1.71,28.57,9.14,2.29,10.29,57.71,0,0
10/03/08,17/03/08,14/03/08,74,63,7,0,24.9662529,11.43,25.71,7.43,24.57,16,5.71,1.14,29.71,14.86,0.57,28.57,23.43,0,0
17/03/08,24/03/08,21/03/08,81,70,7,0,24.54374847,62.86,26.86,18.86,49.71,31.43,3.43,3.43,32.57,6.29,2.29,16,4.57,0,0
24/03/08,31/03/08,28/03/08,88,77,7,0,24.78749619,29.71,7.43,33.14,64.57,23.43,2.86,1.71,13.71,11.43,4,17.71,2.86,0,0
31/03/08,07/04/08,04/04/08,95,84,7,0,25.40625153,9.14,49.71,40,86.29,12,0.57,0.57,9.14,8.57,1.71,4.57,0.57,0,0
07/04/08,14/04/08,11/04/08,102,91,7,0,25.67999802,2.29,17.71,8.57,10.29,4.57,2.29,0,5.71,4,0.57,2.29,2.29,0,0
14/04/08,20/04/08,17/04/08,108,97,6,1,24.58142787,5.67,9.67,12.67,9.33,25.33,2,1,3,7.67,30,4.67,4,0,0
21/04/08,28/04/08,25/04/08,116,105,7,0,25.33875427,37.43,8.86,26.57,85.71,36.57,13.43,1.43,7.14,9.71,30.86,16.57,4,0,0
28/04/08,05/05/08,02/05/08,123,112,7,0,25.55500183,1.14,26.29,31.43,57.14,15.43,2.86,0,2.29,13.14,9.14,2.29,5.71,0,0
05/05/08,12/05/08,09/05/08,130,119,7,0,26.00749741,0.57,10.57,9.71,10,18.86,6.29,0.29,1.71,13.14,2.29,1.71,0.86,0,0
12/05/08,19/05/08,16/05/08,137,126,7,0,26.05749664,1.71,2.86,2.29,4.57,0.57,0.57,0,0.57,3.43,1.14,0,4,0,0
19/05/08,26/05/08,23/05/08,144,133,7,0,26.19875107,8.57,14.29,24,37.14,34.29,9.14,0.57,2.29,8.57,7.43,0,9.71,0,0
26/05/08,02/06/08,30/05/08,151,140,7,0,26.68125687,1.71,11.43,8.57,9.14,42.86,2.57,0.29,2.29,8.29,3.71,1.14,2.57,0,0
02/06/08,09/06/08,06/06/08,158,147,7,0,27.48249969,0.57,10.86,4,3.43,24.57,9.71,0.57,1.14,9.14,1.71,1.14,1.71,0,0
09/06/08,16/06/08,13/06/08,165,154,7,0,28.14000092,1.14,14.29,13.71,5.14,20,1.71,0,1.14,12,4,0,1.71,0,0
16/06/08,23/06/08,20/06/08,172,161,7,0,28.65625534,0.57,4,2.29,3.43,10.29,4.57,0,0,8,1.71,0.57,1.71,0,0
23/06/08,30/06/08,27/06/08,179,168,7,0,28.38000259,0.57,1.14,2.29,5.71,6.86,3.43,0.57,0.57,4.57,6.29,0,1.71,0,0
30/06/08,07/07/08,04/07/08,186,175,7,0,28.33500061,0,3.43,2.29,2.86,14.29,2.86,0,0,5.14,3.43,1.14,0,0,0
07/07/08,14/07/08,11/07/08,193,182,7,0,29.01749954,0,2.29,0,2.86,10.86,1.71,0,0,4,0.57,0.57,0.57,0,0
14/07/08,21/07/08,18/07/08,200,189,7,0,29.26875076,1.43,11.71,16,18.29,102,9.71,0,5.14,6.86,7.71,1.71,0.29,0,0
