"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal","temp_K","temp_oC"
2008,"2008-01-14","2008-01-20",6,1,6,0,4.57,0,9.14,6.86,0,30.29,8,27.43,0.57,1.71,137.71,0,0,296.050000871931,22.9000008719308
2008,"2008-01-21","2008-01-27",6,1,13,7.43,13.71,1.71,18.29,7.43,0.57,33.71,28,23.43,7.43,6.86,452.57,0,0,295.587140764509,22.437140764509
2008,"2008-01-28","2008-02-03",6,1,20,7.43,22.86,2.29,8,5.71,1.14,71.43,29.71,32,0,6.29,245.14,1.14,1.71,295.654292515346,22.504292515346
2008,"2008-02-04","2008-02-10",6,1,27,1.71,18.86,0.57,4.57,8,1.14,38.86,31.43,64,1.14,5.71,346.29,1.71,0.57,296.030003138951,22.8800031389509
2008,"2008-02-11","2008-02-17",6,1,34,0.57,11.43,2.29,10.86,2.29,1.14,6.86,8.57,36,0,0.57,95.43,0,0.57,296.071428571429,22.9214285714286
2008,"2008-02-18","2008-02-24",6,1,41,2.29,11.43,2.29,16.57,18.29,1.14,8,18.29,40,1.71,5.71,110.86,1.71,0,295.96142578125,22.81142578125
2008,"2008-02-25","2008-03-02",6,1,48,1.71,4.57,5.14,23.43,9.14,0.57,1.71,5.71,18.29,2.29,0.57,74.29,0,0,296.110002790179,22.9600027901786
2008,"2008-03-03","2008-03-09",6,1,55,0.57,47.43,21.14,127.43,32.57,4.57,1.71,28.57,9.14,2.29,10.29,57.71,0,0,296.69429234096,23.5442923409598
2008,"2008-03-10","2008-03-16",6,1,62,11.43,25.71,7.43,24.57,16,5.71,1.14,29.71,14.86,0.57,28.57,23.43,0,0,298.131430489676,24.9814304896764
2008,"2008-03-17","2008-03-23",6,1,69,62.86,26.86,18.86,49.71,31.43,3.43,3.43,32.57,6.29,2.29,16,4.57,0,0,297.7457144601,24.5957144601005
2008,"2008-03-24","2008-03-30",6,1,76,29.71,7.43,33.14,64.57,23.43,2.86,1.71,13.71,11.43,4,17.71,2.86,0,0,297.958565848214,24.8085658482143
2008,"2008-03-31","2008-04-06",6,1,83,9.14,49.71,40,86.29,12,0.57,0.57,9.14,8.57,1.71,4.57,0.57,0,0,298.474286760603,25.3242867606027
2008,"2008-04-07","2008-04-13",6,1,90,2.29,17.71,8.57,10.29,4.57,2.29,0,5.71,4,0.57,2.29,2.29,0,0,298.94142804827,25.7914280482701
2008,"2008-04-14","2008-04-19",5,2,96,5.67,9.67,12.67,9.33,25.33,2,1,3,7.67,30,4.67,4,0,0,297.664998372396,24.5149983723958
2008,"2008-04-21","2008-04-27",6,1,104,37.43,8.86,26.57,85.71,36.57,13.43,1.43,7.14,9.71,30.86,16.57,4,0,0,298.485717773438,25.3357177734375
2008,"2008-04-28","2008-05-04",6,1,111,1.14,26.29,31.43,57.14,15.43,2.86,0,2.29,13.14,9.14,2.29,5.71,0,0,298.672860281808,25.5228602818081
2008,"2008-05-05","2008-05-11",6,1,118,0.57,10.57,9.71,10,18.86,6.29,0.29,1.71,13.14,2.29,1.71,0.86,0,0,299.118569510324,25.9685695103237
2008,"2008-05-12","2008-05-18",6,1,125,1.71,2.86,2.29,4.57,0.57,0.57,0,0.57,3.43,1.14,0,4,0,0,299.188568115234,26.0385681152344
2008,"2008-05-19","2008-05-25",6,1,132,8.57,14.29,24,37.14,34.29,9.14,0.57,2.29,8.57,7.43,0,9.71,0,0,299.294285365513,26.1442853655134
2008,"2008-05-26","2008-06-01",6,1,139,1.71,11.43,8.57,9.14,42.86,2.57,0.29,2.29,8.29,3.71,1.14,2.57,0,0,299.745723179408,26.5957231794085
2008,"2008-06-02","2008-06-08",6,1,146,0.57,10.86,4,3.43,24.57,9.71,0.57,1.14,9.14,1.71,1.14,1.71,0,0,300.592856270926,27.4428562709264
2008,"2008-06-09","2008-06-15",6,1,153,1.14,14.29,13.71,5.14,20,1.71,0,1.14,12,4,0,1.71,0,0,301.2457144601,28.0957144601005
2008,"2008-06-16","2008-06-22",6,1,160,0.57,4,2.29,3.43,10.29,4.57,0,0,8,1.71,0.57,1.71,0,0,301.815721784319,28.6657217843192
2008,"2008-06-23","2008-06-29",6,1,167,0.57,1.14,2.29,5.71,6.86,3.43,0.57,0.57,4.57,6.29,0,1.71,0,0,301.618573869978,28.4685738699777
2008,"2008-06-30","2008-07-06",6,1,174,0,3.43,2.29,2.86,14.29,2.86,0,0,5.14,3.43,1.14,0,0,0,301.417144775391,28.2671447753906
2008,"2008-07-07","2008-07-13",6,1,181,0,2.29,0,2.86,10.86,1.71,0,0,4,0.57,0.57,0.57,0,0,302.130000523158,28.9800005231585
2008,"2008-07-14","2008-07-20",6,1,188,1.43,11.71,16,18.29,102,9.71,0,5.14,6.86,7.71,1.71,0.29,0,0,302.401428222656,29.2514282226563
2008,"2008-07-21","2008-07-27",6,4,195,1.43,5.71,16.29,17.43,80.57,2.86,0.29,4.57,5.43,5.43,4,0.86,0,0,301.767142159598,28.6171421595982
2008,"2008-07-31","2008-08-06",6,1,205,0.57,18.86,7.43,59.43,83.43,2.29,0,20,1.71,7.43,5.71,0.57,0,0,302.317147391183,29.1671473911831
2008,"2008-08-07","2008-08-13",6,1,212,0.29,11.43,16.57,14.29,31.43,2.86,0,5.14,5.14,3.43,0.29,0.29,0,0,301.917140415737,28.7671404157366
2008,"2008-08-14","2008-08-20",6,1,219,0.86,4.86,7.71,7.43,19.71,0.86,0,3.71,4.57,1.71,2.29,0,0,0.29,302.222856794085,29.0728567940848
