"temp_K","day"
301.929992675781,2012-07-01
302.070007324219,2012-07-02
302.440002441406,2012-07-03
302.709991455078,2012-07-04
302.929992675781,2012-07-05
302.820007324219,2012-07-06
302.720001220703,2012-07-07
302.630004882812,2012-07-08
302.429992675781,2012-07-09
302.220001220703,2012-07-10
302.440002441406,2012-07-11
302.679992675781,2012-07-12
302.700012207031,2012-07-13
302.820007324219,2012-07-14
302.630004882812,2012-07-15
302.529998779297,2012-07-16
302.529998779297,2012-07-17
302.489990234375,2012-07-18
302.420013427734,2012-07-19
302.480010986328,2012-07-20
302.019989013672,2012-07-21
302.049987792969,2012-07-22
302.260009765625,2012-07-23
302.390014648438,2012-07-24
302.709991455078,2012-07-25
302.929992675781,2012-07-26
303.100006103516,2012-07-27
303.109985351562,2012-07-28
303.079986572266,2012-07-29
303.190002441406,2012-07-30
303.170013427734,2012-07-31
302.940002441406,2012-08-01
303.239990234375,2012-08-02
303.700012207031,2012-08-03
303.700012207031,2012-08-04
303.420013427734,2012-08-05
303.410003662109,2012-08-06
303.940002441406,2012-08-07
303.670013427734,2012-08-08
303.459991455078,2012-08-09
303.480010986328,2012-08-10
303.790008544922,2012-08-11
304.019989013672,2012-08-12
304.089996337891,2012-08-13
304.019989013672,2012-08-14
304.100006103516,2012-08-15
303.989990234375,2012-08-16
303.480010986328,2012-08-17
303.5,2012-08-18
303.489990234375,2012-08-19
302.970001220703,2012-08-20
302.829986572266,2012-08-21
302.980010986328,2012-08-22
302.850006103516,2012-08-23
302.75,2012-08-24
302.820007324219,2012-08-25
302.940002441406,2012-08-26
303.010009765625,2012-08-27
302.910003662109,2012-08-28
302.630004882812,2012-08-29
302.429992675781,2012-08-30
301.739990234375,2012-08-31
302.299987792969,2012-09-01
302.890014648438,2012-09-02
302.910003662109,2012-09-03
302.899993896484,2012-09-04
302.260009765625,2012-09-05
301.970001220703,2012-09-06
301.890014648438,2012-09-07
302.239990234375,2012-09-08
302.230010986328,2012-09-09
302.089996337891,2012-09-10
301.910003662109,2012-09-11
302.059997558594,2012-09-12
302.149993896484,2012-09-13
301.989990234375,2012-09-14
301.679992675781,2012-09-15
301.760009765625,2012-09-16
301.649993896484,2012-09-17
301.589996337891,2012-09-18
301.619995117188,2012-09-19
301.609985351562,2012-09-20
301.760009765625,2012-09-21
302,2012-09-22
302.130004882812,2012-09-23
302.119995117188,2012-09-24
301.670013427734,2012-09-25
301.510009765625,2012-09-26
301.540008544922,2012-09-27
301.630004882812,2012-09-28
301.420013427734,2012-09-29
302.029998779297,2012-09-30
302.429992675781,2012-10-01
302.600006103516,2012-10-02
302.200012207031,2012-10-03
301.459991455078,2012-10-04
301.410003662109,2012-10-05
301.420013427734,2012-10-06
301.459991455078,2012-10-07
301.019989013672,2012-10-08
300.989990234375,2012-10-09
301.260009765625,2012-10-10
301.709991455078,2012-10-11
301.839996337891,2012-10-12
301.700012207031,2012-10-13
301.799987792969,2012-10-14
301.820007324219,2012-10-15
301.790008544922,2012-10-16
301.679992675781,2012-10-17
301.660003662109,2012-10-18
301.690002441406,2012-10-19
301.720001220703,2012-10-20
301.730010986328,2012-10-21
301.670013427734,2012-10-22
301.369995117188,2012-10-23
301.230010986328,2012-10-24
301.190002441406,2012-10-25
301.239990234375,2012-10-26
301.089996337891,2012-10-27
300.619995117188,2012-10-28
300.369995117188,2012-10-29
300.179992675781,2012-10-30
299.790008544922,2012-10-31
299.630004882812,2012-11-01
299.75,2012-11-02
299.859985351562,2012-11-03
299.720001220703,2012-11-04
299.489990234375,2012-11-05
299.529998779297,2012-11-06
299.399993896484,2012-11-07
298.989990234375,2012-11-08
298.649993896484,2012-11-09
298.559997558594,2012-11-10
298.779998779297,2012-11-11
298.559997558594,2012-11-12
298.239990234375,2012-11-13
298.170013427734,2012-11-14
297.950012207031,2012-11-15
297.950012207031,2012-11-16
297.519989013672,2012-11-17
297.459991455078,2012-11-18
297.529998779297,2012-11-19
297.529998779297,2012-11-20
297.440002441406,2012-11-21
297.450012207031,2012-11-22
297.390014648438,2012-11-23
297.429992675781,2012-11-24
297.529998779297,2012-11-25
297.410003662109,2012-11-26
297.070007324219,2012-11-27
296.859985351562,2012-11-28
297.040008544922,2012-11-29
297.119995117188,2012-11-30
297.070007324219,2012-12-01
297.130004882812,2012-12-02
297.279998779297,2012-12-03
297.279998779297,2012-12-04
297.160003662109,2012-12-05
297.059997558594,2012-12-06
296.910003662109,2012-12-07
297.040008544922,2012-12-08
297.299987792969,2012-12-09
297.470001220703,2012-12-10
296.869995117188,2012-12-11
296.619995117188,2012-12-12
296.609985351562,2012-12-13
296.609985351562,2012-12-14
296.540008544922,2012-12-15
295.980010986328,2012-12-16
296.119995117188,2012-12-17
296.239990234375,2012-12-18
296.440002441406,2012-12-19
296.290008544922,2012-12-20
296.130004882812,2012-12-21
296.079986572266,2012-12-22
295.859985351562,2012-12-23
295.5,2012-12-24
295.850006103516,2012-12-25
295.940002441406,2012-12-26
295.899993896484,2012-12-27
295.760009765625,2012-12-28
295.910003662109,2012-12-29
295.959991455078,2012-12-30
296.269989013672,2012-12-31
