species,subclade,mean,sd,n_ind
Beella_digitata,Globigerinella,272.218,NA,1
Globigerina_bulloides,Globigerina,429.72,NA,1
Globigerina_falconensis,Globigerina,246.1692489,16.87615934,17
Globigerinella_adamsi,Globigerinella,NA,NA,NA
Globigerinella_calida,Globigerinella,334.1635794,89.45196521,19
Globigerinella_siphonifera,Globigerinella,435.5098194,111.0164958,73
Globigerinoides_conglobatus,Globigerinoides,489.538033,157.2365959,32
Globigerinoides_ruber,Globigerinoides,265.722435,64.43197383,625
Globoconella_inflata,Globoconella,310.950952,74.41853417,97
Globoquadrina_conglomerata,Globoquadrina,644.709,NA,1
Globorotalia_crassaformis,Globorotalia,356.5005142,168.9007317,5
Globorotalia_hirsuta,Globorotalia,590.502,NA,NA
Globorotalia_menardii,Globorotalia,794.8201281,240.6108127,90
Globorotalia_scitula,Globorotalia,259.9115695,35.12491624,5
Globorotalia_theyeri,Globorotalia,NA,NA,NA
Globorotalia_truncatulinoides,Globorotalia,415.1094458,109.6917803,46
Globorotalia_tumida,Globorotalia,898.651314,107.2686233,6
Globorotalia_ungulata,Globorotalia,NA,NA,NA
Globorotaloides_hexagonus,Globorotaloides,424.522,NA,1
Globoturborotalita_rubescens,Globigerinoides,208.5035775,7.936464819,4
Globoturborotalita_tenellus,Globigerinoides,216.2093886,23.32551784,48
Neogloboquadrina_dutertrei,Neogloboquadrina,423.0951916,92.58388898,77
Neogloboquadrina_pachyderma,Neogloboquadrina,263.9102671,34.25480358,226
Orbulina_universa,Globigerinoides,614.2846912,86.9135825,6
Pulleniatina_obliquiloculata,Neogloboquadrina,477.1386984,131.6403547,50
Sphaeroidinella_dehiscens,Globigerinoides,654.56,NA,1
Trilobatus_sacculifer,Globigerinoides,419.9214121,129.1002706,164
Turborotalita_clarkei,Turborotalia,131.341,NA,1
Turborotalita_humilis,Turborotalia,213.8700274,10.38273476,3
Turborotalita_quinqueloba,Turborotalia,189.922,NA,1
