doy,date,year,variable,value,consecutive,start,end,year
111,20/04/2008,2008,G_men,NA,10,20/04/2008,20/04/2008,2008
210,28/07/2008,2008,G_men,NA,99,28/07/2008,30/07/2008,2008
211,29/07/2008,2008,G_men,NA,1,28/07/2008,30/07/2008,2008
212,30/07/2008,2008,G_men,NA,1,28/07/2008,30/07/2008,2008
297,23/10/2008,2008,G_men,NA,85,23/10/2008,25/10/2008,2008
298,24/10/2008,2008,G_men,NA,1,23/10/2008,25/10/2008,2008
299,25/10/2008,2008,G_men,NA,1,23/10/2008,25/10/2008,2008
8,08/01/2009,2009,G_men,NA,75,08/01/2009,08/01/2009,2009
72,13/03/2009,2009,G_men,NA,64,13/03/2009,19/03/2009,2009
73,14/03/2009,2009,G_men,NA,1,,,
74,15/03/2009,2009,G_men,NA,1,,,
75,16/03/2009,2009,G_men,NA,1,,,
76,17/03/2009,2009,G_men,NA,1,,,
77,18/03/2009,2009,G_men,NA,1,,,
78,19/03/2009,2009,G_men,NA,1,,,
93,03/04/2009,2009,G_men,NA,15,,,
94,04/04/2009,2009,G_men,NA,1,,,
95,05/04/2009,2009,G_men,NA,1,,,
96,06/04/2009,2009,G_men,NA,1,,,
97,07/04/2009,2009,G_men,NA,1,,,
98,08/04/2009,2009,G_men,NA,1,,,
99,09/04/2009,2009,G_men,NA,1,,,
121,01/05/2009,2009,G_men,NA,22,,,
122,02/05/2009,2009,G_men,NA,1,,,
123,03/05/2009,2009,G_men,NA,1,,,
124,04/05/2009,2009,G_men,NA,1,,,
125,05/05/2009,2009,G_men,NA,1,,,
126,06/05/2009,2009,G_men,NA,1,,,
127,07/05/2009,2009,G_men,NA,1,,,
147,27/05/2009,2009,G_men,NA,20,,,
148,28/05/2009,2009,G_men,NA,1,,,
149,29/05/2009,2009,G_men,NA,1,,,
150,30/05/2009,2009,G_men,NA,1,,,
151,31/05/2009,2009,G_men,NA,1,,,
152,01/06/2009,2009,G_men,NA,1,,,
153,02/06/2009,2009,G_men,NA,1,,,
154,03/06/2009,2009,G_men,NA,1,,,
155,04/06/2009,2009,G_men,NA,1,,,
156,05/06/2009,2009,G_men,NA,1,,,
157,06/06/2009,2009,G_men,NA,1,,,
158,07/06/2009,2009,G_men,NA,1,,,
159,08/06/2009,2009,G_men,NA,1,,,
160,09/06/2009,2009,G_men,NA,1,,,
161,10/06/2009,2009,G_men,NA,1,,,
162,11/06/2009,2009,G_men,NA,1,,,
163,12/06/2009,2009,G_men,NA,1,,,
164,13/06/2009,2009,G_men,NA,1,,,
165,14/06/2009,2009,G_men,NA,1,,,
166,15/06/2009,2009,G_men,NA,1,,,
167,16/06/2009,2009,G_men,NA,1,,,
168,17/06/2009,2009,G_men,NA,1,,,
169,18/06/2009,2009,G_men,NA,1,,,
170,19/06/2009,2009,G_men,NA,1,,,
171,20/06/2009,2009,G_men,NA,1,,,
172,21/06/2009,2009,G_men,NA,1,,,
173,22/06/2009,2009,G_men,NA,1,,,
174,23/06/2009,2009,G_men,NA,1,,,
175,24/06/2009,2009,G_men,NA,1,,,
176,25/06/2009,2009,G_men,NA,1,,,
177,26/06/2009,2009,G_men,NA,1,,,
178,27/06/2009,2009,G_men,NA,1,,,
179,28/06/2009,2009,G_men,NA,1,,,
180,29/06/2009,2009,G_men,NA,1,,,
181,30/06/2009,2009,G_men,NA,1,,,
182,01/07/2009,2009,G_men,NA,1,,,
183,02/07/2009,2009,G_men,NA,1,,,
184,03/07/2009,2009,G_men,NA,1,,,
185,04/07/2009,2009,G_men,NA,1,,,
186,05/07/2009,2009,G_men,NA,1,,,
187,06/07/2009,2009,G_men,NA,1,,,
188,07/07/2009,2009,G_men,NA,1,,,
189,08/07/2009,2009,G_men,NA,1,,,
190,09/07/2009,2009,G_men,NA,1,,,
191,10/07/2009,2009,G_men,NA,1,,,
192,11/07/2009,2009,G_men,NA,1,,,
193,12/07/2009,2009,G_men,NA,1,,,
194,13/07/2009,2009,G_men,NA,1,,,
195,14/07/2009,2009,G_men,NA,1,,,
196,15/07/2009,2009,G_men,NA,1,,,
197,16/07/2009,2009,G_men,NA,1,,,
198,17/07/2009,2009,G_men,NA,1,,,
199,18/07/2009,2009,G_men,NA,1,,,
200,19/07/2009,2009,G_men,NA,1,,,
201,20/07/2009,2009,G_men,NA,1,,,
202,21/07/2009,2009,G_men,NA,1,,,
203,22/07/2009,2009,G_men,NA,1,,,
204,23/07/2009,2009,G_men,NA,1,,,
205,24/07/2009,2009,G_men,NA,1,,,
206,25/07/2009,2009,G_men,NA,1,,,
207,26/07/2009,2009,G_men,NA,1,,,
208,27/07/2009,2009,G_men,NA,1,,,
209,28/07/2009,2009,G_men,NA,1,,,
210,29/07/2009,2009,G_men,NA,1,,,
211,30/07/2009,2009,G_men,NA,1,,,
212,31/07/2009,2009,G_men,NA,1,,,
213,01/08/2009,2009,G_men,NA,1,,,
214,02/08/2009,2009,G_men,NA,1,,,
215,03/08/2009,2009,G_men,NA,1,,,
216,04/08/2009,2009,G_men,NA,1,,,
217,05/08/2009,2009,G_men,NA,1,,,
218,06/08/2009,2009,G_men,NA,1,,,
219,07/08/2009,2009,G_men,NA,1,,,
220,08/08/2009,2009,G_men,NA,1,,,
221,09/08/2009,2009,G_men,NA,1,,,
222,10/08/2009,2009,G_men,NA,1,,,
223,11/08/2009,2009,G_men,NA,1,,,
224,12/08/2009,2009,G_men,NA,1,,,
225,13/08/2009,2009,G_men,NA,1,,,
226,14/08/2009,2009,G_men,NA,1,,,
227,15/08/2009,2009,G_men,NA,1,,,
228,16/08/2009,2009,G_men,NA,1,,,
229,17/08/2009,2009,G_men,NA,1,,,
230,18/08/2009,2009,G_men,NA,1,,,
231,19/08/2009,2009,G_men,NA,1,,,
232,20/08/2009,2009,G_men,NA,1,,,
233,21/08/2009,2009,G_men,NA,1,,,
234,22/08/2009,2009,G_men,NA,1,,,
235,23/08/2009,2009,G_men,NA,1,,,
236,24/08/2009,2009,G_men,NA,1,,,
237,25/08/2009,2009,G_men,NA,1,,,
238,26/08/2009,2009,G_men,NA,1,,,
239,27/08/2009,2009,G_men,NA,1,,,
240,28/08/2009,2009,G_men,NA,1,,,
241,29/08/2009,2009,G_men,NA,1,,,
242,30/08/2009,2009,G_men,NA,1,,,
243,31/08/2009,2009,G_men,NA,1,,,
244,01/09/2009,2009,G_men,NA,1,,,
245,02/09/2009,2009,G_men,NA,1,,,
246,03/09/2009,2009,G_men,NA,1,,,
