name_long,name,species,abbr,abbr2,forcens_siccha,tara_metagen,traps_lukas,tow_rebotim,book2017
Beella_digitata,B.digitata,digitata,B_dig,B.dig,B_dig,NA,B_dig,B_dig,B_dig
Berggrenia_pumilio,B.pumilio,pumilio,B_pum,B.pum,B_pum,NA,B_pum,B_pum,B_pum
Candeina_nitida,C.nitida,nitida,C_nit,C.nit,C_nit,C_nit,NA,NA,C_nit
Dentigloborotalia_anfracta,D.anfracta,anfracta,D_anf,D.anf,D_anf,NA,NA,D_anf,D_anf
Globigerina_bulloides,G.bulloides,bulloides,G_bul,G.bul,G_bul,G_bul,G_bul,G_bul,G_bul
Globigerina_falconensis,G.falconensis,falconensis,G_fal,G.fal,G_fal,G_fal,G_fal,G_fal,G_fal
Globigerinella_adamsi,G.adamsi,adamsi,G_ada,G.ada,G_ada,NA,G_ada,NA,G_ada
Globigerinella_calida,G.calida,calida,G_cal,G.cal,G_cal,G_cal,G_cal,G_cal,G_cal
Globigerinella_siphonifera,G.siphonifera,siphonifera,G_sip,G.sip,G_sip,G_sip,G_sip,G_sip,G_sip
Globigerinita_glutinata,G.glutinata,glutinata,G_glu,G.glu,G_glu,G_glu,G_glu,G_glu,G_glu
Globigerinita_minuta,G.minuta,minuta,G_min,G.min,G_min,NA,NA,G_min,G_min
Globigerinita_uvula,G.uvula,uvula,G_uvu,G.uvu,G_uvu,G_uvu,G_uvu,G_uvu,G_uvu
Globigerinoides_conglobatus,G.conglobatus,conglobatus,G_con,G.con,G_con,G_con,G_con,NA,G_con
Globigerinoides_ruber,G.ruber.pink,ruber,G_rubp,G.rubp,G_rubp,G_rub,G_rubp,G_rubp,G_rubp
Globigerinoides_white,G.ruber.white,white,G_rubw,G.rubw,G_rubw,G_rub,G_rubw,G_rubw,G_rubw
Globoconella_inflata,G.inflata,inflata,G_inf,G.inf,G_inf,G_inf,G_inf,G_inf,G_inf
Globoquadrina_conglomerata,G.conglomerata,conglomerata,G_coa,G.coa,G_coa,NA,G_coa,NA,G_coa
Globorotalia_cavernula,G.cavernula,cavernula,G_cav,G.cav,G_cav,NA,NA,NA,G_cav
Globorotalia_crassaformis,G.crassaformis,crassaformis,G_cra,G.cra,G_cra,NA,G_cra,G_cra,G_cra
Globorotalia_hirsuta,G.hirsuta,hirsuta,G_hir,G.hir,G_hir,G_hir,G_hir,G_hir,G_hir
Globorotalia_menardii,G.menardii,menardii,G_men,G.men,G_men,G_men,G_men,G_men,G_men
Globorotalia_scitula,G.scitula,scitula,G_sci,G.sci,G_sci,G_sci,G_sci,G_sci,G_sci
Globorotalia_theyeri,G.theyeri,theyeri,G_the,G.the,G_the,NA,G_the,NA,G_the
Globorotalia_truncatulinoides,G.truncatulinoides,truncatulinoides,G_tru,G.tru,G_tru,G_tru,G_tru,G_tru,G_tru
Globorotalia_tumida,G.tumida,tumida,G_tum,G.tum,G_tum,NA,G_tum,NA,G_tum
Globorotalia_ungulata,G.ungulata,ungulata,G_ung,G.ung,G_ung,G_ung,G_ung,NA,G_ung
Globorotaloides_hexagonus,G.hexagonus,hexagonus,G_hex,G.hex,G_hex,NA,G_hex,NA,G_hex
Globoturborotalita_rubescens,G.rubescens,rubescens,G_rus,G.rus,G_rus,G_rus,G_rus,G_rus,G_rus
Globoturborotalita_tenella,G.tenella,tenella,G_ten,G.ten,G_ten,NA,G_ten,G_ten,G_ten
Hastigerina_pelagica,H.pelagica,pelagica,H_pel,H.pel,H_pel,H_pel,H_pel,H_pel,H_pel
Hastigerinella_digitata,H. digitata,digitata,H_dig,H.dig,H_dig,NA,H_dig,H_dig,H_dig
Neogloboquadrina_dutertrei,N.dutertrei,dutertrei,N_dut,N.dut,N_dut,N_dut,N_dut,N_dut,N_dut
Neogloboquadrina_incompta,N.incompta,incompta,N_inc,N.inc,N_inc,NA,N_inc,N_inc,N_inc
Neogloboquadrina_pachyderma,N.pachyderma,pachyderma,N_pac,N.pac,N_pac,N_pac,N_pac,N_pac,N_pac
Orbulina_universa,O.universa,universa,O_uni,O.uni,O_uni,O_uni,O_uni,O_uni,O_uni
Pulleniatina_obliquiloculata,P.obliquiloculata,obliquiloculata,P_obl,P.obl,P_obl,P_obl,P_obl,P_obl,P_obl
Sphaeroidinella_dehiscens,S.dehiscens,dehiscens,S_deh,S.deh,S_deh,NA,S_deh,NA,S_deh
Tenuitella_fleisheri,T.fleisheri,fleisheri,T_fle,T.fle,NA,NA,NA,T_fle,T_fle
Tenuitella_iota,T.iota,iota,T_iot,T.iot,T_iot,NA,T_iot,T_iot,T_iot
Tenuitella_parkerae,T.parkerae,parkerae,T_par,T.par,NA,NA,T_par,T_par,T_par
Trilobatus_sacculifer,T.sacculifer,sacculifer,G_sac,T.sac,G_sac,G_sac,G_sac,G_sac,G_sac
Turborotalita_clarkei,T.clarkei,clarkei,T_cla,T.cla,NA,NA,NA,T_cla,T_cla
Turborotalita_humilis,T.humilis,humilis,T_hum,T.hum,T_hum,NA,T_hum,T_hum,T_hum
Turborotalita_quinqueloba,T.quinqueloba,quinqueloba,T_qui,T.qui,T_qui,T_qui,T_qui,T_qui,T_qui
Orcadia_riedeli,O.riedeli,riedeli,NA,NA,NA,,NA,NA,O_rie
Tenuitella_compressa,T.compressa,compressa,NA,NA,NA,,NA,NA,T_com
Streptochilus_globigerus,S.globigerus,globigerus,NA,NA,NA,,NA,NA,S_glo
