var1,var2,lag,cr_corr,cr_corr_abs,lag,cr_corr,cr_corr_abs,lag,cr_corr,cr_corr_abs
G_ruber_pink,G_ruber_white,0,0.85,0.85,-2,0.28,0.28,0,0.85,0.85
P_obliquiloculata,N_dutertrei,0,0.73,0.73,-1,0.58,0.58,0,0.73,0.73
G_menardii,G_falconensis,-8,0.71,0.71,-5,0.34,0.34,0,0.07,0.07
G_sacculifer,G_ruber_pink,0,0.71,0.71,0,0.71,0.71,0,0.71,0.71
G_sacculifer,G_ruber_white,0,0.66,0.66,0,0.66,0.66,0,0.66,0.66
O_universa,G_sacculifer,0,0.64,0.64,0,0.64,0.64,0,0.64,0.64
P_obliquiloculata,G_falconensis,0,0.64,0.64,-1,0.54,0.54,0,0.64,0.64
G_calida,G_truncatulinoides,0,0.55,0.55,1,0.2,0.2,0,0.55,0.55
sst,N_dutertrei,2,-0.55,0.55,1,-0.54,0.54,0,-0.52,0.52
G_menardii,P_obliquiloculata,-8,0.54,0.54,-8,0.54,0.54,0,0.28,0.28
sst,P_obliquiloculata,4,-0.52,0.52,4,-0.52,0.52,0,-0.46,0.46
G_crassaformis,G_bulloides,12,0.52,0.52,12,0.52,0.52,0,0.08,0.08
G_calida,G_glutinata,0,0.51,0.51,0,0.51,0.51,0,0.51,0.51
O_universa,G_ruber_pink,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5
G_ruber_white,G_glutinata,0,0.48,0.48,-1,0.18,0.18,0,0.48,0.48
P_obliquiloculata,G_calida,-8,0.47,0.47,-8,0.47,0.47,0,0.22,0.22
N_dutertrei,G_glutinata,0,0.47,0.47,0,0.47,0.47,0,0.47,0.47
G_glutinata,G_falconensis,-11,0.45,0.45,-11,0.45,0.45,0,0.04,0.04
G_calida,G_bulloides,0,0.45,0.45,0,0.45,0.45,0,0.45,0.45
G_ruber_pink,G_crassaformis,0,0.44,0.44,1,0.23,0.23,0,0.44,0.44
N_dutertrei,G_calida,0,0.43,0.43,-7,0.3,0.3,0,0.43,0.43
sst,G_calida,14,0.43,0.43,13,0.42,0.42,0,-0.37,0.37
G_ruber_pink,G_glutinata,0,0.42,0.42,-2,0.15,0.15,0,0.42,0.42
G_truncatulinoides,G_falconensis,6,0.42,0.42,5,0.32,0.32,0,0,0
G_menardii,G_crassaformis,11,0.42,0.42,14,0.24,0.24,0,-0.12,0.12
G_siphonifera,G_calida,0,0.41,0.41,-14,0.18,0.18,0,0.41,0.41
sst,G_crassaformis,4,0.4,0.4,4,0.4,0.4,0,0.31,0.31
P_obliquiloculata,G_truncatulinoides,-6,0.39,0.39,-5,0.31,0.31,0,0.14,0.14
sst,G_ruber_pink,-3,0.38,0.38,-3,0.38,0.38,0,0.37,0.37
G_menardii,N_dutertrei,0,0.38,0.38,-4,0.33,0.33,0,0.38,0.38
G_sacculifer,G_glutinata,0,0.37,0.37,-2,0.28,0.28,0,0.37,0.37
G_calida,G_falconensis,8,0.37,0.37,7,0.22,0.22,0,0.04,0.04
sst,G_menardii,-13,0.36,0.36,-13,0.36,0.36,0,-0.08,0.08
sst,G_truncatulinoides,0,-0.36,0.36,0,-0.36,0.36,0,-0.36,0.36
G_siphonifera,O_universa,-3,0.35,0.35,-1,0.18,0.18,0,0.34,0.34
O_universa,G_glutinata,0,0.35,0.35,-1,0.15,0.15,0,0.35,0.35
G_menardii,G_truncatulinoides,-14,0.33,0.33,-11,0.19,0.19,0,-0.03,0.03
O_universa,G_ruber_white,0,0.33,0.33,-8,0.23,0.23,0,0.33,0.33
N_dutertrei,G_falconensis,0,0.32,0.32,0,0.32,0.32,0,0.32,0.32
sst,O_universa,8,0.31,0.31,8,0.31,0.31,0,0.17,0.17
O_universa,N_dutertrei,15,0.31,0.31,14,0.28,0.28,0,0.13,0.13
O_universa,G_calida,3,0.3,0.3,3,0.3,0.3,0,0.14,0.14
G_siphonifera,G_sacculifer,12,0.3,0.3,-2,0.29,0.29,0,0.2,0.2
P_obliquiloculata,G_crassaformis,18,0.3,0.3,1,-0.24,0.24,0,-0.2,0.2
G_ruber_white,G_falconensis,-11,0.29,0.29,-10,0.08,0.08,0,0.03,0.03
G_siphonifera,G_glutinata,0,0.29,0.29,0,0.29,0.29,0,0.29,0.29
G_menardii,G_calida,-15,0.28,0.28,-16,0.24,0.24,0,-0.03,0.03
N_dutertrei,G_truncatulinoides,-2,0.28,0.28,-1,0.22,0.22,0,0.26,0.26
G_ruber_pink,G_bulloides,12,0.28,0.28,1,0.22,0.22,0,0.07,0.07
G_menardii,O_universa,-18,0.27,0.27,-16,0.07,0.07,0,0.09,0.09
sst,G_ruber_white,-4,0.27,0.27,-4,0.27,0.27,0,0.2,0.2
G_menardii,G_glutinata,3,0.27,0.27,2,0.17,0.17,0,0.11,0.11
sst,G_falconensis,6,-0.27,0.27,5,-0.27,0.27,0,-0.21,0.21
O_universa,G_crassaformis,-14,0.26,0.26,-15,0.19,0.19,0,0.18,0.18
G_sacculifer,G_crassaformis,2,0.26,0.26,6,0.08,0.08,0,0.05,0.05
G_siphonifera,N_dutertrei,0,0.25,0.25,1,0.16,0.16,0,0.25,0.25
G_ruber_pink,P_obliquiloculata,2,-0.25,0.25,2,-0.25,0.25,0,-0.13,0.13
G_ruber_white,G_crassaformis,2,0.25,0.25,5,0.14,0.14,0,0.17,0.17
N_dutertrei,G_crassaformis,4,-0.25,0.25,3,-0.25,0.25,0,-0.14,0.14
G_siphonifera,G_crassaformis,0,0.24,0.24,-17,0.18,0.18,0,0.24,0.24
O_universa,P_obliquiloculata,15,0.24,0.24,-2,-0.22,0.22,0,-0.07,0.07
G_sacculifer,G_falconensis,-11,0.23,0.23,-12,0.15,0.15,0,-0.05,0.05
G_ruber_pink,G_falconensis,-11,0.23,0.23,-10,0.09,0.09,0,-0.07,0.07
G_siphonifera,G_truncatulinoides,0,0.23,0.23,-11,0.17,0.17,0,0.23,0.23
G_glutinata,G_bulloides,1,0.23,0.23,0,0.22,0.22,0,0.22,0.22
G_ruber_pink,N_dutertrei,2,-0.23,0.23,2,-0.23,0.23,0,0.02,0.02
G_siphonifera,G_ruber_pink,-12,0.22,0.22,-1,0.08,0.08,0,0.21,0.21
sst,G_bulloides,0,-0.22,0.22,14,0.21,0.21,0,-0.22,0.22
G_glutinata,G_truncatulinoides,0,0.22,0.22,2,0.11,0.11,0,0.22,0.22
G_ruber_white,G_bulloides,1,0.22,0.22,1,0.22,0.22,0,0.09,0.09
O_universa,G_falconensis,12,0.22,0.22,11,0.22,0.22,0,-0.06,0.06
G_crassaformis,G_falconensis,15,0.22,0.22,-18,0.22,0.22,0,-0.1,0.1
G_calida,G_crassaformis,-12,0.21,0.21,12,-0.18,0.18,0,0.16,0.16
G_menardii,G_ruber_pink,10,0.21,0.21,10,0.21,0.21,0,0.08,0.08
G_ruber_pink,G_calida,-7,-0.2,0.2,11,0.1,0.1,0,0.09,0.09
sst,G_sacculifer,-4,0.2,0.2,-4,0.2,0.2,0,0.17,0.17
G_ruber_pink,G_truncatulinoides,-3,-0.19,0.19,-4,-0.17,0.17,0,-0.13,0.13
G_sacculifer,G_calida,2,0.19,0.19,-7,-0.13,0.13,0,0.11,0.11
sst,G_glutinata,9,0.19,0.19,9,0.19,0.19,0,-0.09,0.09
G_siphonifera,G_ruber_white,12,0.19,0.19,10,0.18,0.18,0,0.18,0.18
G_crassaformis,G_glutinata,-8,0.18,0.18,-7,0.07,0.07,0,0.07,0.07
G_menardii,G_siphonifera,-2,0.17,0.17,10,-0.09,0.09,0,0.04,0.04
P_obliquiloculata,G_glutinata,0,0.17,0.17,-8,0.16,0.16,0,0.17,0.17
