"variable","correlation"
"sst",0.966057161072213
"G_menardii",0.435315676545352
"G_siponifera",0.281507082641427
"O_universa",0.456445284744601
"G_saculifer",0.272763848437878
"G_ruber_pink",0.419202438425861
"G_ruber_white",0.226445386658418
"P_obliquiloculata",0.615745645562406
"N_dutertrei",0.602382897794535
"G_calida",0.4968755786223
"G_crassaformis",0.491211755680281
"G_glutinata",0.344937747487034
"G_truncatulinoides",0.721040584010618
"G_bulloides",0.37583088536455
"G_falconensis",0.683784142569245
