,G_men,G_sip,O_uni,G_sac,G_rubp,G_rubw,P_obl,N_dut,G_cal,G_cra,G_glu,G_tru,G_bul,G_fal,temp_K
G_men,,0.035928144,0.159680639,0.079840319,0.327345309,0.351297405,0.007984032,0.001996008,0.001996008,0.902195609,0.003992016,0.614770459,0.051896208,0.007984032,0.001996008
G_sip,0.001996008,,0.001996008,0.001996008,0.007984032,0.001996008,0.285429142,0.017964072,0.031936128,0.760479042,0.001996008,0.135728543,0.00998004,0.882235529,0.972055888
O_uni,0.690618762,0.001996008,,0.001996008,0.001996008,0.003992016,0.169660679,0.229540918,0.005988024,0.057884232,0.001996008,0.001996008,0.001996008,0.70259481,0.005988024
G_sac,0.698602794,0.007984032,0.001996008,,0.001996008,0.001996008,0.638722555,0.0499002,0.00998004,0.317365269,0.001996008,0.001996008,0.003992016,0.9500998,0.003992016
G_rubp,0.678642715,0.071856287,0.001996008,0.001996008,,0.001996008,0.758483034,0.339321357,0.001996008,0.003992016,0.001996008,0.067864271,0.327345309,0.912175649,0.451097804
G_rubw,0.145708583,0.003992016,0.001996008,0.001996008,0.001996008,,0.067864271,0.011976048,0.001996008,0.113772455,0.001996008,0.097804391,0.073852295,0.938123752,0.273453094
P_obl,0.001996008,0.107784431,0.686626747,0.26746507,0.433133733,0.219560878,,0.001996008,0.001996008,0.361277445,0.001996008,0.001996008,0.001996008,0.001996008,0.001996008
N_dut,0.001996008,0.001996008,0.279441118,0.121756487,0.033932136,0.081836327,0.001996008,,0.001996008,0.129740519,0.001996008,0.281437126,0.001996008,0.035928144,0.001996008
G_cal,0.023952096,0.035928144,0.223552894,0.001996008,0.017964072,0.007984032,0.001996008,0.001996008,,0.50499002,0.001996008,0.001996008,0.001996008,0.085828343,0.003992016
G_cra,0.003992016,0.001996008,0.013972056,0.011976048,0.001996008,0.001996008,0.552894212,0.638722555,0.001996008,,0.155688623,0.269461078,0.001996008,0.582834331,0.023952096
G_glu,0.177644711,0.047904192,0.602794411,0.003992016,0.021956088,0.001996008,0.111776447,0.003992016,0.001996008,0.007984032,,0.003992016,0.011976048,0.431137725,0.506986028
G_tru,0.96007984,0.007984032,0.195608782,0.007984032,0.045908184,0.007984032,0.095808383,0.011976048,0.083832335,0.111776447,0.00998004,,0.339321357,0.477045908,0.005988024
G_bul,0.125748503,0.944111776,0.628742515,0.027944112,0.552894212,0.219560878,0.011976048,0.001996008,0.001996008,0.381237525,0.001996008,0.289421158,,0.906187625,0.289421158
G_fal,0.003992016,0.069860279,0.115768463,0.007984032,0.005988024,0.011976048,0.193612774,0.001996008,0.339321357,0.099800399,0.005988024,0.876247505,0.588822355,,0.345309381
temp_K,0.005988024,0.01996008,0.007984032,0.001996008,0.02994012,0.007984032,0.02994012,0.001996008,0.003992016,0.01996008,0.001996008,0.582834331,0.017964072,0.037924152,
